p03um,p05um,p10um,p25um,p50um,p100um,pm10_env,pm25_env,pm100_env
354,112,22,0,0,0,1,3,3
336,112,20,0,0,0,0,2,2
336,112,20,0,0,0,0,2,2
318,104,20,0,0,0,2,3,3
318,104,20,0,0,0,2,3,3
420,134,36,2,0,0,1,3,3
420,134,36,2,0,0,1,3,3
408,130,32,2,0,0,1,3,3
432,136,32,2,0,0,1,3,3
456,144,34,2,0,0,2,4,4
456,144,34,2,0,0,2,4,4
462,142,30,0,0,0,1,2,2
462,142,30,0,0,0,1,2,2
414,124,18,0,0,0,1,1,1
414,124,18,0,0,0,1,1,1
402,118,24,0,0,0,0,1,1
402,118,24,0,0,0,1,2,2
336,96,22,0,0,0,1,2,2
336,96,22,0,0,0,1,2,2
312,90,26,2,0,0,0,1,1
390,116,26,2,0,0,0,2,2
324,98,20,2,0,0,1,2,2
324,98,20,2,0,0,1,2,2
360,102,16,2,0,0,0,1,1
360,102,16,2,0,0,0,1,1
360,102,16,2,0,0,1,2,2
360,102,16,2,0,0,1,2,2
342,94,16,2,0,0,1,2,2
330,90,18,2,0,0,0,1,1
336,102,18,2,0,0,1,2,2
372,112,24,4,0,0,1,3,3
408,122,24,4,0,0,1,2,2
408,122,24,4,0,0,2,3,3
450,126,24,2,0,0,2,3,3
450,126,24,2,0,0,2,3,3
468,134,24,2,0,0,1,2,2
456,128,22,2,0,0,1,2,2
492,142,20,2,0,0,1,2,2
492,142,20,2,0,0,2,3,3
426,126,20,2,0,0,1,2,2
426,126,20,2,0,0,1,2,2
402,122,20,2,0,0,1,1,2
402,122,20,2,0,0,2,2,3
414,122,22,2,0,0,1,2,2
432,128,24,2,0,0,1,2,2
420,118,24,2,0,0,1,2,2
420,118,24,2,0,0,1,2,2
480,134,26,2,0,0,1,2,2
480,134,26,2,0,0,1,2,2
462,132,28,6,0,0,2,4,4
480,142,28,6,0,0,2,4,4
468,138,24,6,0,0,2,4,4
468,138,24,6,0,0,2,4,4
456,142,38,12,2,2,2,5,7
462,144,42,14,2,2,2,6,7
426,128,46,26,2,2,1,8,9
438,130,48,30,2,2,1,9,10
432,120,40,22,0,0,1,7,7
432,120,40,22,0,0,1,7,7
420,120,44,18,0,0,0,5,5
408,116,40,14,0,0,0,5,5
402,118,32,10,0,0,0,4,4
402,118,32,10,0,0,1,5,5
